CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime,
      0,   1,               596,             546,              0,
     53,   1,               546,             496,              0,
    106,   1,               496,             446,              0,
    159,   5,               609,             559,              0,
    212,   5,               559,             509,              0,
    265,   1,               446,             396,              0,
    318,   1,               396,             346,              0,
    371,   1,               346,             296,              0,
    424,   6,               814,             764,              0,
    477,   6,               764,             714,              0,
    530,   5,               509,             459,              0,
    583,   1,               296,             246,              0,
    636,   8,               308,             258,              0,
    689,   7,               204,             154,              0,
    742,   1,               246,             196,              0,
    795,   7,               154,             104,              0,
    848,   6,               714,             664,              0,
    901,   3,               123,              73,              0,
    954,   6,               664,             614,              0,
   1007,   5,               459,             409,              0,
   1060,   6,               614,             564,              0,
   1113,   8,               258,             208,              0,
   1166,   8,               208,             158,              0,
   1219,   4,               209,             159,              0,
   1272,   4,               159,             109,              0,
   1325,   8,               158,             108,              0,
   1378,   7,               104,              54,              0,
   1431,   6,               564,             514,              0,
   1484,   8,               108,              58,              0,
   1537,   1,               196,             146,              0,
   1590,   6,               514,             464,              0,
   1643,   5,               409,             359,              0,
   1696,   8,                58,               8,              0,
   1749,   5,               359,             309,              0,
   1802,   1,               146,              96,              0,
   1855,   1,                96,              46,              0,
   1908,   4,               109,              59,              0,
   1961,   8,                 8,               0,           1969,
   1972,   1,                46,               0,           2018,
   2021,   5,               309,             259,              0,
   2074,   2,               222,             172,              0,
   2127,   2,               172,             122,              0,
   2180,   6,               464,             414,              0,
   2233,   5,               259,             209,              0,
   2286,   7,                54,               4,              0,
   2339,   6,               414,             364,              0,
   2392,   7,                 4,               0,           2396,
   2399,   5,               209,             159,              0,
   2452,   6,               364,             314,              0,
   2505,   6,               314,             264,              0,
   2558,   2,               122,              72,              0,
   2611,   6,               264,             214,              0,
   2664,   6,               214,             164,              0,
   2717,   2,                72,              22,              0,
   2770,   5,               159,             109,              0,
   2823,   5,               109,              59,              0,
   2876,   5,                59,               9,              0,
   2929,   2,                22,               0,           2951,
   2954,   6,               164,             114,              0,
   3007,   3,                73,              23,              0,
   3060,   6,               114,              64,              0,
   3113,   3,                23,               0,           3136,
   3139,   5,                 9,               0,           3148,
   3151,   6,                64,              14,              0,
   3204,   6,                14,               0,           3218,
   3221,   4,                59,               9,              0,
   3274,   4,                 9,               0,           3283,
   3283,   9,               333,             283,              0,
   3333,   9,               283,             233,              0,
   3383,   9,               233,             183,              0,
   3433,   9,               183,             133,              0,
   3483,   9,               133,              83,              0,
   3533,   9,                83,              33,              0,
   3583,   9,                33,               0,           3616,
