CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime,
      0,   1,               596,             546,              0,
     53,   2,               222,             172,              0,
    106,   3,               123,              73,              0,
    159,   4,               209,             159,              0,
    212,   5,               609,             559,              0,
    265,   6,               814,             764,              0,
    318,   7,               204,             154,              0,
    371,   8,               308,             258,              0,
    424,   9,               333,             283,              0,
    477,   1,               546,             496,              0,
    530,   2,               172,             122,              0,
    583,   3,                73,              23,              0,
    636,   4,               159,             109,              0,
    689,   5,               559,             509,              0,
    742,   6,               764,             714,              0,
    795,   7,               154,             104,              0,
    848,   8,               258,             208,              0,
    901,   9,               283,             233,              0,
    954,   1,               496,             446,              0,
   1007,   2,               122,              72,              0,
   1060,   3,                23,               0,           1083,
   1086,   7,               104,              54,              0,
   1139,   8,               208,             158,              0,
   1192,   9,               233,             183,              0,
   1245,   1,               446,             396,              0,
   1298,   2,                72,              22,              0,
   1351,   4,               109,              59,              0,
   1404,   5,               509,             459,              0,
   1457,   6,               714,             664,              0,
   1510,   7,                54,               4,              0,
   1563,   8,               158,             108,              0,
   1616,   9,               183,             133,              0,
   1669,   1,               396,             346,              0,
   1722,   2,                22,               0,           1744,
   1747,   9,               133,              83,              0,
   1800,   1,               346,             296,              0,
   1853,   4,                59,               9,              0,
   1906,   5,               459,             409,              0,
   1959,   6,               664,             614,              0,
   2012,   7,                 4,               0,           2016,
   2019,   8,               108,              58,              0,
   2072,   9,                83,              33,              0,
   2125,   1,               296,             246,              0,
   2178,   4,                 9,               0,           2187,
   2190,   9,                33,               0,           2223,
   2226,   5,               409,             359,              0,
   2279,   6,               614,             564,              0,
   2332,   8,                58,               8,              0,
   2385,   1,               246,             196,              0,
   2438,   5,               359,             309,              0,
   2491,   6,               564,             514,              0,
   2544,   8,                 8,               0,           2552,
   2555,   5,               309,             259,              0,
   2608,   6,               514,             464,              0,
   2661,   1,               196,             146,              0,
   2714,   5,               259,             209,              0,
   2767,   6,               464,             414,              0,
   2820,   1,               146,              96,              0,
   2873,   5,               209,             159,              0,
   2926,   6,               414,             364,              0,
   2979,   1,                96,              46,              0,
   3032,   5,               159,             109,              0,
   3085,   6,               364,             314,              0,
   3138,   1,                46,               0,           3184,
   3187,   5,               109,              59,              0,
   3240,   6,               314,             264,              0,
   3293,   5,                59,               9,              0,
   3346,   6,               264,             214,              0,
   3399,   5,                 9,               0,           3408,
   3408,   6,               214,             164,              0,
   3458,   6,               164,             114,              0,
   3508,   6,               114,              64,              0,
   3558,   6,                64,              14,              0,
   3608,   6,                14,               0,           3622,
